source,tvec_x_mm,tvec_y_mm,tvec_z_mm,distance_mm,yaw_deg,pitch_deg,roll_deg
f_100cm.jpg,88.8,54.7,786.1,1000.1,5.44,15.64,0.79
f_150cm.jpg,125.9,127.4,1173.2,1500.3,3.79,14.48,0.47
f_200cm.jpg,180.9,185.7,1565.3,2000.3,4.20,13.32,-0.08
f_50cm.jpg,33.7,-39.9,390.7,499.7,4.76,-16.62,1.06
